*NAME,OBJICN,OBJHERE,OBJNEAR,OBJFAR,OBJVFAR,OBJVVFAR,PROJNEAR,PROJFAR,PROJVFAR,PROJVVFAR,TYPE,BUFF (1=str 2=dex 3=int 4=con 5=res 6=hp 7=mana 8=stam 9=magres 10=consumption 11=critchance),BUFFAMOUNT,DAMTYPE (1=slash 2=chop 3=stab 4=blunt 5=absolute),AF,DF,AC,EFFECT,ACTION,MINSTR,MININT,MINRES,HANDS
Round Shield,52,235,236,237,238,239,,,,,SHLD,0,0,0,0,10,0,0,*,30,0,0,1
Mail Armour,53,240,241,242,243,244,,,,,ARMR,0,0,0,0,15,8,0,*,50,0,0,1
Leather Armour *NEEDS INGAME*,54,245,246,247,248,249,,,,,ARMR,0,0,0,0,10,4,0,*,35,0,0,1
Vampiric Zweihander,55,250,251,252,253,254,,,,,WEPN,10,200,5,90,65,0,0,*,75,0,0,2
Skull *NEEDS ICON & INGAME*,56,255,256,257,258,259,,,,,MISC,0,0,0,0,0,0,0,*,0,0,0,1
Femur *NEEDS ICON AND INGAME*,57,260,261,262,263,264,,,,,MISC,0,0,0,0,0,0,0,*,0,0,0,1
Aged Bones *NEEDS ICON AND INGAME*,58,265,266,267,268,269,,,,,MISC,0,0,0,0,0,0,0,*,0,0,0,1
Blank Scroll,59,270,271,272,273,274,,,,,MISC,0,0,0,0,0,0,0,*,0,0,0,1
Plain Belt,60,275,276,277,278,279,,,,,BELT,0,0,0,0,0,0,0,*,0,0,0,1
Utility Belt *NEEDS ICON AND INGAME*,61,,,,,,,,,,BELT,0,0,0,0,0,0,96,*,0,0,0,1
Champion's Girdle *NEEDS ICON AND INGAME*,62,,,,,,,,,,BELT,1,25,0,0,0,0,0,*,0,0,0,1
Boots *NEEDS INGAME*,63,,,,,,,,,,FEET,0,0,0,0,0,1,0,*,0,0,0,1
Novopetrous Boots *NEEDS ICON AND INGAME*,64,,,,,,,,,,FEET,8,-10,0,0,0,3,97,*,0,0,55,1
Seven League Boots *NEEDS ICON AND INGAME*,65,,,,,,,,,,FEET,0,0,0,0,0,0,69,*,0,0,70,1
